忍阶等级,忍阶名称,升级需要声望,每日扣除声望,银币奖励,奥义奖励,单场胜利所得声望,斗技场失败系数,每日获得声望,当前天数,当前总奥义,Unnamed: 11,竞技场排名,每日声望奖励,Unnamed: 14,调试数值,Unnamed: 16
,,,,,,,,,,,,351,4391,,,
,,,,,,,,,,,,352,4387,,,
,,,,,,,,,,,,353,4383,,,
,,,,,,,,,,,,354,4379,,,
,,,,,,,,,,,,355,4375,,,
,,,,,,,,,,,,356,4371,,,
,,,,,,,,,,,,357,4367,,,
,,,,,,,,,,,,358,4363,,,
,,,,,,,,,,,,359,4359,,,
,,,,,,,,,,,,360,4355,,,
,,,,,,,,,,,,361,4351,,,
,,,,,,,,,,,,362,4347,,,
,,,,,,,,,,,,363,4343,,,
,,,,,,,,,,,,364,4339,,,
,,,,,,,,,,,,365,4335,,,
,,,,,,,,,,,,366,4331,,,
,,,,,,,,,,,,367,4327,,,
,,,,,,,,,,,,368,4323,,,
,,,,,,,,,,,,369,4319,,,
,,,,,,,,,,,,370,4315,,,
,,,,,,,,,,,,371,4311,,,
,,,,,,,,,,,,372,4307,,,
,,,,,,,,,,,,373,4303,,,
,,,,,,,,,,,,374,4299,,,
,,,,,,,,,,,,375,4295,,,
,,,,,,,,,,,,376,4291,,,
,,,,,,,,,,,,377,4287,,,
,,,,,,,,,,,,378,4283,,,
,,,,,,,,,,,,379,4279,,,
,,,,,,,,,,,,380,4275,,,
,,,,,,,,,,,,381,4271,,,
,,,,,,,,,,,,382,4267,,,
,,,,,,,,,,,,383,4263,,,
,,,,,,,,,,,,384,4259,,,
,,,,,,,,,,,,385,4255,,,
,,,,,,,,,,,,386,4251,,,
,,,,,,,,,,,,387,4247,,,
,,,,,,,,,,,,388,4243,,,
,,,,,,,,,,,,389,4239,,,
,,,,,,,,,,,,390,4235,,,
,,,,,,,,,,,,391,4231,,,
,,,,,,,,,,,,392,4227,,,
,,,,,,,,,,,,393,4223,,,
,,,,,,,,,,,,394,4219,,,
,,,,,,,,,,,,395,4215,,,
,,,,,,,,,,,,396,4211,,,
,,,,,,,,,,,,397,4207,,,
,,,,,,,,,,,,398,4203,,,
,,,,,,,,,,,,399,4199,,,
,,,,,,,,,,,,400,4195,,,
,,,,,,,,,,,,401,4191,,,
,,,,,,,,,,,,402,4187,,,
,,,,,,,,,,,,403,4183,,,
,,,,,,,,,,,,404,4179,,,
,,,,,,,,,,,,405,4175,,,
,,,,,,,,,,,,406,4171,,,
,,,,,,,,,,,,407,4167,,,
,,,,,,,,,,,,408,4164,,,
,,,,,,,,,,,,409,4160,,,
,,,,,,,,,,,,410,4156,,,
,,,,,,,,,,,,411,4152,,,
,,,,,,,,,,,,412,4148,,,
,,,,,,,,,,,,413,4144,,,
,,,,,,,,,,,,414,4140,,,
,,,,,,,,,,,,415,4136,,,
,,,,,,,,,,,,416,4132,,,
,,,,,,,,,,,,417,4128,,,
,,,,,,,,,,,,418,4124,,,
,,,,,,,,,,,,419,4120,,,
,,,,,,,,,,,,420,4116,,,
,,,,,,,,,,,,421,4112,,,
,,,,,,,,,,,,422,4108,,,
,,,,,,,,,,,,423,4104,,,
,,,,,,,,,,,,424,4100,,,
,,,,,,,,,,,,425,4096,,,
,,,,,,,,,,,,426,4092,,,
,,,,,,,,,,,,427,4088,,,
,,,,,,,,,,,,428,4084,,,
,,,,,,,,,,,,429,4080,,,
,,,,,,,,,,,,430,4076,,,
,,,,,,,,,,,,431,4072,,,
,,,,,,,,,,,,432,4068,,,
,,,,,,,,,,,,433,4064,,,
,,,,,,,,,,,,434,4060,,,
,,,,,,,,,,,,435,4056,,,
,,,,,,,,,,,,436,4052,,,
,,,,,,,,,,,,437,4048,,,
,,,,,,,,,,,,438,4044,,,
,,,,,,,,,,,,439,4040,,,
,,,,,,,,,,,,440,4036,,,
,,,,,,,,,,,,441,4032,,,
,,,,,,,,,,,,442,4028,,,
,,,,,,,,,,,,443,4024,,,
,,,,,,,,,,,,444,4020,,,
,,,,,,,,,,,,445,4016,,,
,,,,,,,,,,,,446,4012,,,
,,,,,,,,,,,,447,4008,,,
,,,,,,,,,,,,448,4004,,,
,,,,,,,,,,,,449,4000,,,
,,,,,,,,,,,,450,3999,,,
,,,,,,,,,,,,451,3999,,,
,,,,,,,,,,,,452,3998,,,
,,,,,,,,,,,,453,3998,,,
,,,,,,,,,,,,454,3998,,,
,,,,,,,,,,,,455,3997,,,
,,,,,,,,,,,,456,3997,,,
,,,,,,,,,,,,457,3996,,,
,,,,,,,,,,,,458,3996,,,
,,,,,,,,,,,,459,3996,,,
,,,,,,,,,,,,460,3995,,,
,,,,,,,,,,,,461,3995,,,
,,,,,,,,,,,,462,3994,,,
,,,,,,,,,,,,463,3994,,,
,,,,,,,,,,,,464,3994,,,
,,,,,,,,,,,,465,3993,,,
,,,,,,,,,,,,466,3993,,,
,,,,,,,,,,,,467,3992,,,
,,,,,,,,,,,,468,3992,,,
,,,,,,,,,,,,469,3992,,,
,,,,,,,,,,,,470,3991,,,
,,,,,,,,,,,,471,3991,,,
,,,,,,,,,,,,472,3990,,,
,,,,,,,,,,,,473,3990,,,
,,,,,,,,,,,,474,3990,,,
,,,,,,,,,,,,475,3989,,,
,,,,,,,,,,,,476,3989,,,
,,,,,,,,,,,,477,3988,,,
,,,,,,,,,,,,478,3988,,,
,,,,,,,,,,,,479,3988,,,
,,,,,,,,,,,,480,3987,,,
,,,,,,,,,,,,481,3987,,,
,,,,,,,,,,,,482,3986,,,
,,,,,,,,,,,,483,3986,,,
,,,,,,,,,,,,484,3986,,,
,,,,,,,,,,,,485,3985,,,
,,,,,,,,,,,,486,3985,,,
,,,,,,,,,,,,487,3984,,,
,,,,,,,,,,,,488,3984,,,
,,,,,,,,,,,,489,3984,,,
,,,,,,,,,,,,490,3983,,,
,,,,,,,,,,,,491,3983,,,
,,,,,,,,,,,,492,3982,,,
,,,,,,,,,,,,493,3982,,,
,,,,,,,,,,,,494,3982,,,
,,,,,,,,,,,,495,3981,,,
,,,,,,,,,,,,496,3981,,,
,,,,,,,,,,,,497,3980,,,
,,,,,,,,,,,,498,3980,,,
,,,,,,,,,,,,499,3980,,,
,,,,,,,,,,,,500,3979,,,
,,,,,,,,,,,,501,3979,,,
,,,,,,,,,,,,502,3978,,,
,,,,,,,,,,,,503,3978,,,
,,,,,,,,,,,,504,3978,,,
,,,,,,,,,,,,505,3977,,,
,,,,,,,,,,,,506,3977,,,
,,,,,,,,,,,,507,3976,,,
,,,,,,,,,,,,508,3976,,,
,,,,,,,,,,,,509,3976,,,
,,,,,,,,,,,,510,3975,,,
,,,,,,,,,,,,511,3975,,,
,,,,,,,,,,,,512,3974,,,
,,,,,,,,,,,,513,3974,,,
,,,,,,,,,,,,514,3974,,,
,,,,,,,,,,,,515,3973,,,
,,,,,,,,,,,,516,3973,,,
,,,,,,,,,,,,517,3972,,,
,,,,,,,,,,,,518,3972,,,
,,,,,,,,,,,,519,3972,,,
,,,,,,,,,,,,520,3971,,,
,,,,,,,,,,,,521,3971,,,
,,,,,,,,,,,,522,3970,,,
,,,,,,,,,,,,523,3970,,,
,,,,,,,,,,,,524,3970,,,
,,,,,,,,,,,,525,3969,,,
,,,,,,,,,,,,526,3969,,,
,,,,,,,,,,,,527,3968,,,
,,,,,,,,,,,,528,3968,,,
,,,,,,,,,,,,529,3968,,,
,,,,,,,,,,,,530,3967,,,
,,,,,,,,,,,,531,3967,,,
,,,,,,,,,,,,532,3966,,,
,,,,,,,,,,,,533,3966,,,
,,,,,,,,,,,,534,3966,,,
,,,,,,,,,,,,535,3965,,,
,,,,,,,,,,,,536,3965,,,
,,,,,,,,,,,,537,3964,,,
,,,,,,,,,,,,538,3964,,,
,,,,,,,,,,,,539,3964,,,
,,,,,,,,,,,,540,3963,,,
,,,,,,,,,,,,541,3963,,,
,,,,,,,,,,,,542,3962,,,
,,,,,,,,,,,,543,3962,,,
,,,,,,,,,,,,544,3962,,,
,,,,,,,,,,,,545,3961,,,
,,,,,,,,,,,,546,3961,,,
,,,,,,,,,,,,547,3960,,,
,,,,,,,,,,,,548,3960,,,
,,,,,,,,,,,,549,3960,,,
,,,,,,,,,,,,550,3959,,,
,,,,,,,,,,,,551,3959,,,
,,,,,,,,,,,,552,3958,,,
,,,,,,,,,,,,553,3958,,,
,,,,,,,,,,,,554,3958,,,
,,,,,,,,,,,,555,3957,,,
,,,,,,,,,,,,556,3957,,,
,,,,,,,,,,,,557,3956,,,
,,,,,,,,,,,,558,3956,,,
,,,,,,,,,,,,559,3956,,,
,,,,,,,,,,,,560,3955,,,
,,,,,,,,,,,,561,3955,,,
,,,,,,,,,,,,562,3954,,,
,,,,,,,,,,,,563,3954,,,
,,,,,,,,,,,,564,3954,,,
,,,,,,,,,,,,565,3953,,,
,,,,,,,,,,,,566,3953,,,
,,,,,,,,,,,,567,3952,,,
,,,,,,,,,,,,568,3952,,,
,,,,,,,,,,,,569,3952,,,
,,,,,,,,,,,,570,3951,,,
,,,,,,,,,,,,571,3951,,,
,,,,,,,,,,,,572,3950,,,
,,,,,,,,,,,,573,3950,,,
,,,,,,,,,,,,574,3950,,,
,,,,,,,,,,,,575,3949,,,
,,,,,,,,,,,,576,3949,,,
,,,,,,,,,,,,577,3948,,,
,,,,,,,,,,,,578,3948,,,
,,,,,,,,,,,,579,3948,,,
,,,,,,,,,,,,580,3947,,,
,,,,,,,,,,,,581,3947,,,
,,,,,,,,,,,,582,3946,,,
,,,,,,,,,,,,583,3946,,,
,,,,,,,,,,,,584,3946,,,
,,,,,,,,,,,,585,3945,,,
,,,,,,,,,,,,586,3945,,,
,,,,,,,,,,,,587,3944,,,
,,,,,,,,,,,,588,3944,,,
,,,,,,,,,,,,589,3944,,,
,,,,,,,,,,,,590,3943,,,
,,,,,,,,,,,,591,3943,,,
,,,,,,,,,,,,592,3942,,,
,,,,,,,,,,,,593,3942,,,
,,,,,,,,,,,,594,3942,,,
,,,,,,,,,,,,595,3941,,,
,,,,,,,,,,,,596,3941,,,
,,,,,,,,,,,,597,3940,,,
,,,,,,,,,,,,598,3940,,,
