排序号,声望奖励,游戏币奖励,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,单次挑战奖励银币
85,6129,25463,,,,,,,
86,6109,25399,,,,,,,
87,6089,25335,,,,,,,
88,6069,25273,,,,,,,
89,6049,25211,,,,,,,
90,6029,25150,,,,,,,
91,6009,25090,,,,,,,
92,5989,25030,,,,,,,
93,5969,24971,,,,,,,
94,5949,24913,,,,,,,
95,5929,24855,,,,,,,
96,5909,24798,,,,,,,
97,5889,24741,,,,,,,
98,5869,24685,,,,,,,
99,5849,24630,,,,,,,
100,5829,24575,,,,,,,
101,5809,24521,,,,,,,
102,5789,24467,,,,,,,
103,5769,24413,,,,,,,
104,5749,24361,,,,,,,
105,5729,24308,,,,,,,
106,5709,24257,,,,,,,
107,5689,24205,,,,,,,
108,5669,24155,,,,,,,
109,5649,24104,,,,,,,
110,5629,24054,,,,,,,
111,5609,24005,,,,,,,
112,5599,23956,,,,,,,
113,5589,23907,,,,,,,
114,5579,23859,,,,,,,
115,5569,23812,,,,,,,
116,5559,23764,,,,,,,
117,5549,23717,,,,,,,
118,5539,23671,,,,,,,
119,5529,23625,,,,,,,
120,5519,23579,,,,,,,
121,5509,23534,,,,,,,
122,5499,23489,,,,,,,
123,5489,23444,,,,,,,
124,5479,23400,,,,,,,
125,5469,23356,,,,,,,
126,5459,23313,,,,,,,
127,5449,23270,,,,,,,
128,5439,23227,,,,,,,
129,5429,23184,,,,,,,
130,5419,23142,,,,,,,
131,5409,23100,,,,,,,
132,5399,23059,,,,,,,
133,5389,23017,,,,,,,
134,5379,22977,,,,,,,
135,5369,22936,,,,,,,
136,5359,22896,,,,,,,
137,5349,22856,,,,,,,
138,5339,22816,,,,,,,
139,5329,22776,,,,,,,
140,5319,22737,,,,,,,
141,5309,22698,,,,,,,
142,5299,22660,,,,,,,
143,5289,22622,,,,,,,
144,5279,22583,,,,,,,
145,5269,22546,,,,,,,
146,5259,22508,,,,,,,
147,5249,22471,,,,,,,
148,5239,22434,,,,,,,
149,5229,22397,,,,,,,
150,5219,22360,,,,,,,
151,5209,22324,,,,,,,
152,5199,22288,,,,,,,
153,5189,22252,,,,,,,
154,5179,22217,,,,,,,
155,5175,22181,,,,,,,
156,5171,22146,,,,,,,
157,5167,22111,,,,,,,
158,5163,22077,,,,,,,
159,5159,22042,,,,,,,
160,5155,22008,,,,,,,
161,5151,21974,,,,,,,
162,5147,21940,,,,,,,
163,5143,21907,,,,,,,
164,5139,21873,,,,,,,
165,5135,21840,,,,,,,
166,5131,21807,,,,,,,
167,5127,21774,,,,,,,
168,5123,21742,,,,,,,
169,5119,21709,,,,,,,
170,5115,21677,,,,,,,
171,5111,21645,,,,,,,
172,5107,21613,,,,,,,
173,5103,21581,,,,,,,
174,5099,21550,,,,,,,
175,5095,21519,,,,,,,
176,5091,21487,,,,,,,
177,5087,21457,,,,,,,
178,5083,21426,,,,,,,
179,5079,21395,,,,,,,
180,5075,21365,,,,,,,
181,5071,21335,,,,,,,
182,5067,21304,,,,,,,
183,5063,21274,,,,,,,
184,5059,21245,,,,,,,
185,5055,21215,,,,,,,
186,5051,21186,,,,,,,
187,5047,21156,,,,,,,
188,5043,21127,,,,,,,
189,5039,21098,,,,,,,
190,5035,21069,,,,,,,
191,5031,21041,,,,,,,
192,5027,21012,,,,,,,
193,5023,20984,,,,,,,
194,5019,20956,,,,,,,
195,5015,20928,,,,,,,
196,5011,20900,,,,,,,
197,5007,20872,,,,,,,
198,5003,20844,,,,,,,
199,4999,20817,,,,,,,
200,4995,20789,,,,,,,
201,4991,20762,,,,,,,
202,4987,20735,,,,,,,
203,4983,20708,,,,,,,
204,4979,20681,,,,,,,
205,4975,20654,,,,,,,
206,4971,20628,,,,,,,
207,4967,20601,,,,,,,
208,4963,20575,,,,,,,
209,4959,20549,,,,,,,
210,4955,20523,,,,,,,
211,4951,20497,,,,,,,
212,4947,20471,,,,,,,
213,4943,20445,,,,,,,
214,4939,20420,,,,,,,
215,4935,20394,,,,,,,
216,4931,20369,,,,,,,
217,4927,20344,,,,,,,
218,4923,20319,,,,,,,
219,4919,20294,,,,,,,
220,4915,20269,,,,,,,
221,4911,20244,,,,,,,
222,4907,20219,,,,,,,
223,4903,20195,,,,,,,
224,4899,20170,,,,,,,
225,4895,20146,,,,,,,
226,4891,20122,,,,,,,
227,4887,20098,,,,,,,
228,4883,20074,,,,,,,
229,4879,20050,,,,,,,
230,4875,20026,,,,,,,
231,4871,20002,,,,,,,
232,4867,19979,,,,,,,
233,4863,19955,,,,,,,
234,4859,19932,,,,,,,
235,4855,19909,,,,,,,
236,4851,19885,,,,,,,
237,4847,19862,,,,,,,
238,4843,19839,,,,,,,
239,4839,19816,,,,,,,
240,4835,19794,,,,,,,
241,4831,19771,,,,,,,
242,4827,19748,,,,,,,
243,4823,19726,,,,,,,
244,4819,19703,,,,,,,
245,4815,19681,,,,,,,
246,4811,19659,,,,,,,
247,4807,19637,,,,,,,
248,4803,19615,,,,,,,
249,4799,19593,,,,,,,
250,4795,19571,,,,,,,
251,4791,19549,,,,,,,
252,4787,19527,,,,,,,
253,4783,19506,,,,,,,
254,4779,19484,,,,,,,
255,4775,19463,,,,,,,
256,4771,19441,,,,,,,
257,4767,19420,,,,,,,
258,4763,19399,,,,,,,
259,4759,19378,,,,,,,
260,4755,19356,,,,,,,
261,4751,19335,,,,,,,
262,4747,19315,,,,,,,
263,4743,19294,,,,,,,
264,4739,19273,,,,,,,
265,4735,19252,,,,,,,
266,4731,19232,,,,,,,
267,4727,19211,,,,,,,
268,4723,19191,,,,,,,
269,4719,19171,,,,,,,
270,4715,19150,,,,,,,
271,4711,19130,,,,,,,
272,4707,19110,,,,,,,
273,4703,19090,,,,,,,
274,4699,19070,,,,,,,
275,4695,19050,,,,,,,
276,4691,19030,,,,,,,
277,4687,19011,,,,,,,
278,4683,18991,,,,,,,
279,4679,18971,,,,,,,
280,4675,18952,,,,,,,
281,4671,18932,,,,,,,
282,4667,18913,,,,,,,
283,4663,18894,,,,,,,
284,4659,18874,,,,,,,
285,4655,18855,,,,,,,
286,4651,18836,,,,,,,
287,4647,18817,,,,,,,
288,4643,18798,,,,,,,
289,4639,18779,,,,,,,
290,4635,18760,,,,,,,
291,4631,18741,,,,,,,
292,4627,18723,,,,,,,
293,4623,18704,,,,,,,
294,4619,18685,,,,,,,
295,4615,18667,,,,,,,
296,4611,18648,,,,,,,
297,4607,18630,,,,,,,
298,4603,18611,,,,,,,
299,4599,18593,,,,,,,
300,4595,18575,,,,,,,
301,4591,18557,,,,,,,
302,4587,18539,,,,,,,
303,4583,18521,,,,,,,
304,4579,18503,,,,,,,
305,4575,18485,,,,,,,
306,4571,18467,,,,,,,
307,4567,18449,,,,,,,
308,4563,18431,,,,,,,
309,4559,18413,,,,,,,
310,4555,18396,,,,,,,
311,4551,18378,,,,,,,
312,4547,18361,,,,,,,
313,4543,18343,,,,,,,
314,4539,18326,,,,,,,
315,4535,18308,,,,,,,
316,4531,18291,,,,,,,
317,4527,18274,,,,,,,
318,4523,18257,,,,,,,
319,4519,18240,,,,,,,
320,4515,18222,,,,,,,
321,4511,18205,,,,,,,
322,4507,18188,,,,,,,
323,4503,18171,,,,,,,
324,4499,18155,,,,,,,
325,4495,18138,,,,,,,
326,4491,18121,,,,,,,
327,4487,18104,,,,,,,
328,4483,18088,,,,,,,
329,4479,18071,,,,,,,
330,4475,18054,,,,,,,
331,4471,18038,,,,,,,
332,4467,18021,,,,,,,
333,4463,18005,,,,,,,
334,4459,17989,,,,,,,
335,4455,17972,,,,,,,
336,4451,17956,,,,,,,
337,4447,17940,,,,,,,
338,4443,17924,,,,,,,
339,4439,17907,,,,,,,
340,4435,17891,,,,,,,
341,4431,17875,,,,,,,
342,4427,17859,,,,,,,
343,4423,17843,,,,,,,
344,4419,17827,,,,,,,
345,4415,17812,,,,,,,
346,4411,17796,,,,,,,
347,4407,17780,,,,,,,
348,4403,17764,,,,,,,
349,4399,17749,,,,,,,
350,4395,17733,,,,,,,
351,4391,17717,,,,,,,
352,4387,17702,,,,,,,
353,4383,17686,,,,,,,
354,4379,17671,,,,,,,
355,4375,17656,,,,,,,
356,4371,17640,,,,,,,
357,4367,17625,,,,,,,
358,4363,17610,,,,,,,
359,4359,17594,,,,,,,
360,4355,17579,,,,,,,
361,4351,17564,,,,,,,
362,4347,17549,,,,,,,
363,4343,17534,,,,,,,
364,4339,17519,,,,,,,
365,4335,17504,,,,,,,
366,4331,17489,,,,,,,
367,4327,17474,,,,,,,
368,4323,17459,,,,,,,
369,4319,17444,,,,,,,
370,4315,17430,,,,,,,
371,4311,17415,,,,,,,
372,4307,17400,,,,,,,
373,4303,17385,,,,,,,
374,4299,17371,,,,,,,
375,4295,17356,,,,,,,
376,4291,17342,,,,,,,
377,4287,17327,,,,,,,
378,4283,17313,,,,,,,
379,4279,17298,,,,,,,
380,4275,17284,,,,,,,
381,4271,17270,,,,,,,
382,4267,17255,,,,,,,
383,4263,17241,,,,,,,
384,4259,17227,,,,,,,
385,4255,17213,,,,,,,
386,4251,17198,,,,,,,
387,4247,17184,,,,,,,
388,4243,17170,,,,,,,
389,4239,17156,,,,,,,
390,4235,17142,,,,,,,
391,4231,17128,,,,,,,
392,4227,17114,,,,,,,
393,4223,17100,,,,,,,
394,4219,17086,,,,,,,
395,4215,17072,,,,,,,
396,4211,17059,,,,,,,
397,4207,17045,,,,,,,
398,4203,17031,,,,,,,
399,4199,17017,,,,,,,
400,4195,17004,,,,,,,
401,4191,16990,,,,,,,
402,4187,16977,,,,,,,
403,4183,16963,,,,,,,
404,4179,16949,,,,,,,
405,4175,16936,,,,,,,
406,4171,16922,,,,,,,
407,4167,16909,,,,,,,
408,4164,16896,,,,,,,
409,4160,16882,,,,,,,
410,4156,16869,,,,,,,
411,4152,16856,,,,,,,
412,4148,16842,,,,,,,
413,4144,16829,,,,,,,
414,4140,16816,,,,,,,
415,4136,16803,,,,,,,
416,4132,16790,,,,,,,
417,4128,16776,,,,,,,
418,4124,16763,,,,,,,
419,4120,16750,,,,,,,
420,4116,16737,,,,,,,
421,4112,16724,,,,,,,
422,4108,16711,,,,,,,
423,4104,16698,,,,,,,
424,4100,16686,,,,,,,
425,4096,16673,,,,,,,
426,4092,16660,,,,,,,
427,4088,16647,,,,,,,
428,4084,16634,,,,,,,
429,4080,16622,,,,,,,
430,4076,16609,,,,,,,
431,4072,16596,,,,,,,
432,4068,16583,,,,,,,
433,4064,16571,,,,,,,
434,4060,16558,,,,,,,
435,4056,16546,,,,,,,
436,4052,16533,,,,,,,
437,4048,16521,,,,,,,
438,4044,16508,,,,,,,
439,4040,16496,,,,,,,
440,4036,16483,,,,,,,
441,4032,16471,,,,,,,
442,4028,16458,,,,,,,
443,4024,16446,,,,,,,
444,4020,16434,,,,,,,
445,4016,16422,,,,,,,
446,4012,16409,,,,,,,
447,4008,16397,,,,,,,
448,4004,16385,,,,,,,
449,4000,16373,,,,,,,
450,3999,16360,,,,,,,
451,3999,16348,,,,,,,
452,3998,16336,,,,,,,
453,3998,16324,,,,,,,
454,3998,16312,,,,,,,
455,3997,16300,,,,,,,
456,3997,16288,,,,,,,
457,3996,16276,,,,,,,
458,3996,16264,,,,,,,
459,3996,16252,,,,,,,
460,3995,16240,,,,,,,
461,3995,16229,,,,,,,
462,3994,16217,,,,,,,
463,3994,16205,,,,,,,
464,3994,16193,,,,,,,
465,3993,16181,,,,,,,
466,3993,16170,,,,,,,
467,3992,16158,,,,,,,
468,3992,16146,,,,,,,
469,3992,16135,,,,,,,
470,3991,16123,,,,,,,
471,3991,16111,,,,,,,
472,3990,16100,,,,,,,
473,3990,16088,,,,,,,
474,3990,16077,,,,,,,
475,3989,16065,,,,,,,
476,3989,16054,,,,,,,
477,3988,16042,,,,,,,
478,3988,16031,,,,,,,
479,3988,16019,,,,,,,
480,3987,16008,,,,,,,
481,3987,15997,,,,,,,
482,3986,15985,,,,,,,
483,3986,15974,,,,,,,
484,3986,15963,,,,,,,
485,3985,15951,,,,,,,
486,3985,15940,,,,,,,
487,3984,15929,,,,,,,
488,3984,15918,,,,,,,
489,3984,15907,,,,,,,
490,3983,15895,,,,,,,
491,3983,15884,,,,,,,
492,3982,15873,,,,,,,
493,3982,15862,,,,,,,
494,3982,15851,,,,,,,
495,3981,15840,,,,,,,
496,3981,15829,,,,,,,
497,3980,15818,,,,,,,
498,3980,15807,,,,,,,
499,3980,15796,,,,,,,
500,3979,15785,,,,,,,
501,3979,15774,,,,,,,
502,3978,15763,,,,,,,
503,3978,15752,,,,,,,
504,3978,15742,,,,,,,
505,3977,15731,,,,,,,
506,3977,15720,,,,,,,
507,3976,15709,,,,,,,
508,3976,15698,,,,,,,
509,3976,15688,,,,,,,
510,3975,15677,,,,,,,
511,3975,15666,,,,,,,
512,3974,15656,,,,,,,
513,3974,15645,,,,,,,
514,3974,15634,,,,,,,
515,3973,15624,,,,,,,
516,3973,15613,,,,,,,
517,3972,15602,,,,,,,
518,3972,15592,,,,,,,
519,3972,15581,,,,,,,
520,3971,15571,,,,,,,
521,3971,15560,,,,,,,
522,3970,15550,,,,,,,
523,3970,15539,,,,,,,
524,3970,15529,,,,,,,
525,3969,15519,,,,,,,
526,3969,15508,,,,,,,
527,3968,15498,,,,,,,
528,3968,15487,,,,,,,
529,3968,15477,,,,,,,
530,3967,15467,,,,,,,
531,3967,15457,,,,,,,
532,3966,15446,,,,,,,
533,3966,15436,,,,,,,
534,3966,15426,,,,,,,
535,3965,15416,,,,,,,
536,3965,15405,,,,,,,
537,3964,15395,,,,,,,
538,3964,15385,,,,,,,
539,3964,15375,,,,,,,
540,3963,15365,,,,,,,
541,3963,15355,,,,,,,
542,3962,15345,,,,,,,
543,3962,15335,,,,,,,
544,3962,15324,,,,,,,
545,3961,15314,,,,,,,
546,3961,15304,,,,,,,
547,3960,15294,,,,,,,
548,3960,15284,,,,,,,
549,3960,15274,,,,,,,
550,3959,15265,,,,,,,
551,3959,15255,,,,,,,
552,3958,15245,,,,,,,
553,3958,15235,,,,,,,
554,3958,15225,,,,,,,
555,3957,15215,,,,,,,
556,3957,15205,,,,,,,
557,3956,15195,,,,,,,
558,3956,15186,,,,,,,
559,3956,15176,,,,,,,
560,3955,15166,,,,,,,
561,3955,15156,,,,,,,
562,3954,15147,,,,,,,
563,3954,15137,,,,,,,
564,3954,15127,,,,,,,
565,3953,15118,,,,,,,
566,3953,15108,,,,,,,
567,3952,15098,,,,,,,
568,3952,15089,,,,,,,
569,3952,15079,,,,,,,
570,3951,15069,,,,,,,
571,3951,15060,,,,,,,
572,3950,15050,,,,,,,
573,3950,15041,,,,,,,
574,3950,15031,,,,,,,
575,3949,15022,,,,,,,
576,3949,15012,,,,,,,
577,3948,15003,,,,,,,
578,3948,14993,,,,,,,
579,3948,14984,,,,,,,
580,3947,14974,,,,,,,
581,3947,14965,,,,,,,
582,3946,14956,,,,,,,
583,3946,14946,,,,,,,
584,3946,14937,,,,,,,
585,3945,14928,,,,,,,
586,3945,14918,,,,,,,
587,3944,14909,,,,,,,
588,3944,14900,,,,,,,
589,3944,14890,,,,,,,
590,3943,14881,,,,,,,
591,3943,14872,,,,,,,
592,3942,14863,,,,,,,
593,3942,14853,,,,,,,
594,3942,14844,,,,,,,
595,3941,14835,,,,,,,
596,3941,14826,,,,,,,
597,3940,14817,,,,,,,
598,3940,14808,,,,,,,
599,3940,14798,,,,,,,
600,3939,14789,,,,,,,
601,3939,14780,,,,,,,
602,3938,14771,,,,,,,
603,3938,14762,,,,,,,
604,3938,14753,,,,,,,
605,3937,14744,,,,,,,
606,3937,14735,,,,,,,
607,3936,14726,,,,,,,
608,3936,14717,,,,,,,
609,3936,14708,,,,,,,
610,3935,14699,,,,,,,
611,3935,14690,,,,,,,
612,3934,14681,,,,,,,
613,3934,14672,,,,,,,
614,3934,14663,,,,,,,
615,3933,14654,,,,,,,
616,3933,14646,,,,,,,
617,3932,14637,,,,,,,
618,3932,14628,,,,,,,
619,3932,14619,,,,,,,
620,3931,14610,,,,,,,
621,3931,14601,,,,,,,
622,3930,14593,,,,,,,
623,3930,14584,,,,,,,
624,3930,14575,,,,,,,
625,3929,14566,,,,,,,
626,3929,14558,,,,,,,
627,3928,14549,,,,,,,
628,3928,14540,,,,,,,
629,3928,14532,,,,,,,
630,3927,14523,,,,,,,
631,3927,14514,,,,,,,
632,3926,14506,,,,,,,
633,3926,14497,,,,,,,
634,3926,14488,,,,,,,
635,3925,14480,,,,,,,
636,3925,14471,,,,,,,
637,3924,14463,,,,,,,
638,3924,14454,,,,,,,
639,3924,14445,,,,,,,
640,3923,14437,,,,,,,
641,3923,14428,,,,,,,
642,3922,14420,,,,,,,
643,3922,14411,,,,,,,
644,3922,14403,,,,,,,
645,3921,14394,,,,,,,
646,3921,14386,,,,,,,
647,3920,14377,,,,,,,
648,3920,14369,,,,,,,
649,3920,14361,,,,,,,
650,3919,14352,,,,,,,
651,3919,14344,,,,,,,
652,3918,14335,,,,,,,
653,3918,14327,,,,,,,
654,3918,14319,,,,,,,
655,3917,14310,,,,,,,
656,3917,14302,,,,,,,
657,3916,14294,,,,,,,
658,3916,14285,,,,,,,
659,3916,14277,,,,,,,
660,3915,14269,,,,,,,
661,3915,14261,,,,,,,
662,3914,14252,,,,,,,
663,3914,14244,,,,,,,
664,3914,14236,,,,,,,
665,3913,14228,,,,,,,
666,3913,14219,,,,,,,
667,3912,14211,,,,,,,
668,3912,14203,,,,,,,
669,3912,14195,,,,,,,
670,3911,14187,,,,,,,
671,3911,14179,,,,,,,
672,3910,14170,,,,,,,
673,3910,14162,,,,,,,
674,3910,14154,,,,,,,
675,3909,14146,,,,,,,
676,3909,14138,,,,,,,
677,3908,14130,,,,,,,
678,3908,14122,,,,,,,
679,3908,14114,,,,,,,
680,3907,14106,,,,,,,
681,3907,14098,,,,,,,
682,3906,14090,,,,,,,
683,3906,14082,,,,,,,
684,3906,14074,,,,,,,
685,3905,14066,,,,,,,
686,3905,14058,,,,,,,
687,3904,14050,,,,,,,
688,3904,14042,,,,,,,
689,3904,14034,,,,,,,
690,3903,14026,,,,,,,
691,3903,14018,,,,,,,
692,3902,14010,,,,,,,
693,3902,14002,,,,,,,
694,3902,13994,,,,,,,
695,3901,13987,,,,,,,
696,3901,13979,,,,,,,
697,3900,13971,,,,,,,
698,3900,13963,,,,,,,
699,3900,13955,,,,,,,
700,3899,13947,,,,,,,
701,3899,13940,,,,,,,
702,3898,13932,,,,,,,
703,3898,13924,,,,,,,
704,3898,13916,,,,,,,
705,3897,13909,,,,,,,
706,3897,13901,,,,,,,
707,3896,13893,,,,,,,
708,3896,13885,,,,,,,
709,3896,13878,,,,,,,
710,3895,13870,,,,,,,
711,3895,13862,,,,,,,
712,3894,13855,,,,,,,
713,3894,13847,,,,,,,
714,3894,13839,,,,,,,
715,3893,13832,,,,,,,
716,3893,13824,,,,,,,
717,3892,13816,,,,,,,
718,3892,13809,,,,,,,
719,3892,13801,,,,,,,
720,3891,13794,,,,,,,
721,3891,13786,,,,,,,
722,3890,13778,,,,,,,
723,3890,13771,,,,,,,
724,3890,13763,,,,,,,
725,3889,13756,,,,,,,
726,3889,13748,,,,,,,
727,3888,13741,,,,,,,
728,3888,13733,,,,,,,
729,3888,13726,,,,,,,
730,3887,13718,,,,,,,
731,3887,13711,,,,,,,
732,3886,13703,,,,,,,
733,3886,13696,,,,,,,
734,3886,13688,,,,,,,
735,3885,13681,,,,,,,
736,3885,13674,,,,,,,
737,3884,13666,,,,,,,
738,3884,13659,,,,,,,
739,3884,13651,,,,,,,
740,3883,13644,,,,,,,
741,3883,13637,,,,,,,
742,3882,13629,,,,,,,
743,3882,13622,,,,,,,
744,3882,13615,,,,,,,
745,3881,13607,,,,,,,
746,3881,13600,,,,,,,
747,3880,13593,,,,,,,
748,3880,13585,,,,,,,
749,3880,13578,,,,,,,
750,3879,13571,,,,,,,
751,3879,13563,,,,,,,
752,3878,13556,,,,,,,
753,3878,13549,,,,,,,
754,3878,13542,,,,,,,
755,3877,13534,,,,,,,
756,3877,13527,,,,,,,
757,3876,13520,,,,,,,
758,3876,13513,,,,,,,
759,3876,13506,,,,,,,
760,3875,13498,,,,,,,
761,3875,13491,,,,,,,
762,3874,13484,,,,,,,
763,3874,13477,,,,,,,
764,3874,13470,,,,,,,
765,3873,13463,,,,,,,
766,3873,13455,,,,,,,
767,3872,13448,,,,,,,
768,3872,13441,,,,,,,
769,3872,13434,,,,,,,
770,3871,13427,,,,,,,
771,3871,13420,,,,,,,
772,3870,13413,,,,,,,
773,3870,13406,,,,,,,
774,3870,13399,,,,,,,
775,3869,13392,,,,,,,
776,3869,13385,,,,,,,
777,3868,13378,,,,,,,
778,3868,13370,,,,,,,
779,3868,13363,,,,,,,
780,3867,13356,,,,,,,
781,3867,13349,,,,,,,
782,3866,13342,,,,,,,
783,3866,13335,,,,,,,
784,3866,13329,,,,,,,
785,3865,13322,,,,,,,
786,3865,13315,,,,,,,
787,3864,13308,,,,,,,
788,3864,13301,,,,,,,
789,3864,13294,,,,,,,
790,3863,13287,,,,,,,
791,3863,13280,,,,,,,
792,3862,13273,,,,,,,
793,3862,13266,,,,,,,
794,3862,13259,,,,,,,
795,3861,13252,,,,,,,
796,3861,13246,,,,,,,
797,3860,13239,,,,,,,
798,3860,13232,,,,,,,
799,3860,13225,,,,,,,
800,3859,13218,,,,,,,
801,3859,13211,,,,,,,
802,3858,13205,,,,,,,
803,3858,13198,,,,,,,
804,3858,13191,,,,,,,
805,3857,13184,,,,,,,
806,3857,13177,,,,,,,
807,3856,13171,,,,,,,
808,3856,13164,,,,,,,
809,3856,13157,,,,,,,
810,3855,13150,,,,,,,
811,3855,13144,,,,,,,
812,3854,13137,,,,,,,
813,3854,13130,,,,,,,
814,3854,13123,,,,,,,
815,3853,13117,,,,,,,
816,3853,13110,,,,,,,
817,3852,13103,,,,,,,
818,3852,13097,,,,,,,
819,3852,13090,,,,,,,
820,3851,13083,,,,,,,
821,3851,13077,,,,,,,
822,3850,13070,,,,,,,
823,3850,13063,,,,,,,
824,3850,13057,,,,,,,
825,3849,13050,,,,,,,
826,3849,13044,,,,,,,
827,3848,13037,,,,,,,
828,3848,13030,,,,,,,
829,3848,13024,,,,,,,
830,3847,13017,,,,,,,
831,3847,13011,,,,,,,
832,3846,13004,,,,,,,
833,3846,12997,,,,,,,
834,3846,12991,,,,,,,
835,3845,12984,,,,,,,
836,3845,12978,,,,,,,
837,3844,12971,,,,,,,
838,3844,12965,,,,,,,
839,3844,12958,,,,,,,
840,3843,12952,,,,,,,
841,3843,12945,,,,,,,
842,3842,12939,,,,,,,
843,3842,12932,,,,,,,
844,3842,12926,,,,,,,
845,3841,12919,,,,,,,
846,3841,12913,,,,,,,
847,3840,12906,,,,,,,
848,3840,12900,,,,,,,
849,3840,12894,,,,,,,
850,3839,12887,,,,,,,
851,3839,12881,,,,,,,
852,3838,12874,,,,,,,
853,3838,12868,,,,,,,
854,3838,12861,,,,,,,
855,3837,12855,,,,,,,
856,3837,12849,,,,,,,
857,3836,12842,,,,,,,
858,3836,12836,,,,,,,
859,3836,12830,,,,,,,
860,3835,12823,,,,,,,
861,3835,12817,,,,,,,
862,3834,12811,,,,,,,
863,3834,12804,,,,,,,
864,3834,12798,,,,,,,
865,3833,12792,,,,,,,
866,3833,12785,,,,,,,
867,3832,12779,,,,,,,
868,3832,12773,,,,,,,
869,3832,12766,,,,,,,
870,3831,12760,,,,,,,
871,3831,12754,,,,,,,
872,3830,12748,,,,,,,
873,3830,12741,,,,,,,
874,3830,12735,,,,,,,
875,3829,12729,,,,,,,
876,3829,12723,,,,,,,
877,3828,12716,,,,,,,
878,3828,12710,,,,,,,
879,3828,12704,,,,,,,
880,3827,12698,,,,,,,
881,3827,12691,,,,,,,
882,3826,12685,,,,,,,
883,3826,12679,,,,,,,
884,3826,12673,,,,,,,
885,3825,12667,,,,,,,
886,3825,12661,,,,,,,
887,3824,12654,,,,,,,
888,3824,12648,,,,,,,
889,3824,12642,,,,,,,
890,3823,12636,,,,,,,
891,3823,12630,,,,,,,
892,3822,12624,,,,,,,
893,3822,12618,,,,,,,
894,3822,12611,,,,,,,
895,3821,12605,,,,,,,
896,3821,12599,,,,,,,
897,3820,12593,,,,,,,
898,3820,12587,,,,,,,
899,3820,12581,,,,,,,
900,3819,12575,,,,,,,
901,3819,12569,,,,,,,
902,3818,12563,,,,,,,
903,3818,12557,,,,,,,
904,3818,12551,,,,,,,
905,3817,12545,,,,,,,
906,3817,12539,,,,,,,
907,3816,12533,,,,,,,
908,3816,12527,,,,,,,
